COMID,ReachLen,RivmouDist,UpArea,SectionID,FlagObs,FlagConf,FlagRes,NumXs,WidLgMean,WidLgCV,AHGb,AreaHID,DisObsMean,DisObsHigh,DisObsLin,DisAprMean,DisAprHigh,DisPreMean,DisPreHigh,DisPreLow,DisPreReg,DisRelGap,SlpApr,SlpPreReg,PostRelUnc
43027920,24098.3,5695919.7,22826.47261,0,0,0,0,35,4.158311795,0.054094991,0.124589289,,,,111.6483265,121.8269214,339.216596,,,,,,,,
43027917,3305.4,5692614.3,22864.9396,1,0,0,0,7,4.201852686,0.091023944,0.196704401,0,,,111.6483265,121.9874781,338.994408,111.8282908,176.0879799,67.37625153,90.3307042,0.001611885,0.501649888,0.509507326,0.972130823
43027916,8083,5684531.3,22944.69837,1,0,0,0,16,4.820776897,0.122287603,0.291492828,0,,,111.6483265,122.3204309,340.080388,131.4030896,151.1387123,108.9274621,94.44905192,0.176937387,0.501649888,0.509507326,0.321234838
43027914,9854,5674677.3,29493.9329,1,0,0,0,20,4.200427544,0.107748911,0.228806386,0,,,111.6483265,149.9058425,411.338242,97.35984974,128.3128087,72.796303,99.46973712,-0.127977527,0.501649888,0.509507326,0.570219714
43027911,5569.3,5669108,29644.75154,1,0,0,0,11,4.336620605,0.130062384,0.27982349,0,,,111.6483265,150.4604715,413.265108,103.0227217,140.7070531,75.49878697,102.3073363,-0.07725691,0.501649888,0.509507326,0.632950334
43027910,3306,5665802,29740.92053,1,0,0,0,6,4.249656638,0.085801146,0.188535512,0,,,111.6483265,150.9704173,412.90996,168.9036077,271.6356743,90.9733139,103.9917675,0.512818087,0.501649888,0.509507326,1.069618127
43031135,5421.3,5660380.7,29838.22601,1,0,0,0,10,4.377138457,0.061016944,0.143879047,0,,,111.6483265,151.258796,414.907144,165.6513319,267.6659222,88.50661563,106.7539596,0.483688445,0.501649888,0.509507326,1.081544619
43031129,3778.5,5656602.2,29899.7224,1,0,0,0,7,4.218070075,0.088482103,0.192471814,0,,,111.6483265,151.5376271,414.07351,150.2783027,242.5158796,83.4227874,108.679133,0.345996912,0.501649888,0.509507326,1.058656435
43031127,3086.6,5653515.6,29928.5599,1,0,0,0,6,4.345446779,0.055862097,0.132739014,0,,,111.6483265,151.6192957,413.657804,187.6253149,331.1815215,80.85086846,110.2517783,0.680502708,0.501649888,0.509507326,1.334205105
43031126,2299.4,5651216.2,29981.25379,1,0,0,0,4,4.478786902,0.080473353,0.186611648,0,,,111.6483265,151.7684845,414.499602,184.951057,315.7505063,87.39135971,111.4233395,0.656550196,0.501649888,0.509507326,1.234700413
43031125,10037.1,5641179.1,30095.10443,1,0,0,0,12,4.281989779,0.048104265,0.115908546,0,,,111.6483265,152.1482317,414.028478,228.9570688,389.0991152,90.86660965,116.5373154,1.050698619,0.501649888,0.509507326,1.302569547
43031123,9855,5631324.1,30232.63212,1,0,0,0,15,4.413362385,0.08661117,0.196602439,0,,,111.6483265,152.717697,416.288976,124.3528713,160.6119745,89.88672821,121.5585101,0.113790732,0.501649888,0.509507326,0.568746387
43031119,5524.3,5625799.8,30422.86634,1,0,0,0,11,4.610714876,0.07910558,0.188584893,0,,,111.6483265,153.4747308,417.565872,116.252846,161.8423524,79.94659688,124.3731815,0.041241276,0.501649888,0.509507326,0.704462371
43031116,2579.6,5623220.2,30656.51267,1,0,0,0,4,4.897657791,0.124334422,0.300386144,0,,,111.6483265,154.7270179,420.446942,142.4463378,197.250377,94.66795448,125.6875066,0.275848392,0.501649888,0.509507326,0.72014784
43031115,12596,5610624.2,30710.68868,1,0,0,0,20,5.258473665,0.131414179,0.337967196,0,,,111.6483265,155.0332557,420.02786,156.0326568,181.2101492,131.7391699,132.1052608,0.397536906,0.501649888,0.509507326,0.317055291
43031112,9013.5,5601414.1,30893.07198,1,0,0,0,8,5.131993023,0.108244227,0.275921845,0,,,111.6483265,156.0349576,423.943948,196.6659771,239.6789464,149.9491509,136.7978743,0.76147716,0.501649888,0.509507326,0.456254797
43031107,6296.2,5593555.8,32534.73335,1,0,0,0,13,5.165810396,0.129423387,0.327684402,0,,,111.6483265,167.9041673,446.700058,164.5069356,196.2293732,130.259197,140.8017357,0.473438437,0.501649888,0.509507326,0.401017598
43031105,10087.6,5583468.2,32746.79354,1,0,0,0,20,4.294266332,0.053363288,0.126517695,0,,,111.6483265,170.3279222,451.542344,151.6277018,231.3016282,91.66761261,145.9414418,0.358083068,0.501649888,0.509507326,0.920900429
43031104,11250.8,5572217.4,32900.3381,1,0,0,0,17,4.210444229,0.043470385,0.105400965,0,,,111.6483265,172.4418398,456.01298,179.6912085,306.9875996,87.45718505,151.6738068,0.609439337,0.501649888,0.509507326,1.221709266
