Time,q_day
1,37.01291935837674
2,33.17634472757279
3,4200.498986411615
4,3867.525970540532
5,4285.607051263239
6,300.9382699474525
7,1537.9663881365573
8,1333.123477043752
9,4177.468051725167
10,4280.79672749295
11,4122.488800108191
12,3397.437646787841
13,2953.3516813424408
14,3989.3417342845873
15,3210.113336208123
16,4124.008433638122
17,294.35936747468065
18,1185.067426046217
19,1754.876579214842
20,464.7089737832689
21,616.4679013522384
22,1546.7967852902475
23,685.5282588726908
24,450.231221003572
25,377.64187426825055
26,572.7988203110355
27,2016.0761587462937
28,1777.001697549375
29,909.016716255127
30,564.63416147405
31,712.2484858614295
32,2060.038921231772
33,2458.8837147604645
34,1282.8761512691208
35,1425.7147471217766
36,3011.817613823932
37,486.38753049587297
38,1629.7872824227663
39,531.8709047485308
40,1625.146467271765
41,2663.7735269562804
42,2580.6527806765675
43,2026.5283100714048
44,3355.6943909189745
45,789.0897835767116
46,233.7560848478684
47,1270.724161001957
48,2997.3386360411414
49,2956.726373707544
50,1945.674655785449
51,3169.760188522738
52,199.5125177560705
53,675.112081324161
