Time,q_day
1,202.5346548
2,1389.388224
3,1234.578729
4,740.5298628
5,1182.927856
6,115.1813285
7,198.9391156
8,684.3717849
9,1272.510554
10,1006.328113
11,377.4094657
12,1198.001636
13,459.2053885
14,962.47838
15,759.4171294
16,1274.92235
17,341.1633585
18,618.5081382
19,624.3503387
20,1276.971524
21,613.3778699
22,814.2859079
23,428.1617397
24,437.30039
25,782.2282949
26,1006.952858
27,864.6613305
28,443.6732511
29,360.346958
30,870.9116104
31,408.0353216
32,1277.663366
33,116.8179605
34,355.230347
35,1011.67415
36,821.751322
37,1020.232789
38,384.6381926
39,462.1523727
40,601.0315176
41,1265.716362
42,415.8786885
43,322.5835909
