Time,q_day
1,86.35631272
2,432.0132317
3,790.2860009
4,456.1891225
5,1175.442734
6,192.0548932
7,229.8724752
8,182.3683123
9,164.098227
10,368.067892
11,394.4473347
12,1248.005805
13,1311.682251
14,188.0759882
15,573.2377051
16,1269.574127
17,1282.06497
18,1477.188036
19,671.6455464
20,439.5626299
21,645.8904343
22,1277.155918
23,1514.310628
24,1562.504378
25,1260.91139
26,263.6555919
27,1084.514797
28,190.4178723
29,326.6874065
30,64.89196312
31,1412.713265
32,475.7626679
33,1310.176616
34,584.761877
35,567.5359743
36,1334.633427
37,1426.397451
38,1532.930645
39,1504.719605
40,564.0502271
41,1095.338973
42,280.1675967
43,961.7635048
44,1134.823489
45,1547.467463
46,1125.082425
47,1031.344841
48,1613.805095
49,350.6314674
50,1016.099671
51,248.3779152
52,1259.007046
53,1261.16789
54,300.2966163
55,395.1226638
56,160.9047029
57,330.6767821
58,1386.412581
59,1389.958906
60,294.4919409
61,177.6322101
62,188.9633149
63,128.4224792
64,279.6343746
65,469.9905266
66,174.7385816
67,153.627302
68,110.7874163
69,290.4381927
70,554.6540088
71,1404.313489
72,102.039248
73,203.7067937
74,141.550947
75,1177.703419
76,390.1599291
77,1162.018513
78,1040.399552
79,332.2500246
