Time,q_day
1,282.5003472
2,515.2949707
3,1391.718298
4,1336.702135
5,1352.586192
6,1003.668372
7,1262.76202
8,322.6634641
9,425.8743498
10,359.7761572
11,1560.925701
12,879.7894938
13,496.1903803
14,1098.462189
15,1104.88932
16,891.9263047
17,1179.135083
18,682.3072896
19,472.2380528
20,928.5200931
21,1326.300646
22,343.305173
23,1265.111729
24,882.1152941
25,467.9406236
26,1188.426712
27,1594.625262
28,1122.810273
29,979.9867347
30,202.1479396
31,1402.343489
32,965.1851212
33,150.0664231
34,1205.817028
35,494.8534092
36,690.1503073
37,1397.457982
38,1388.526842
39,425.1301849
40,195.6176925
41,401.2837499
42,144.8682631
43,148.276876
44,470.9519539
45,312.9872829
46,487.1639225
47,579.4098597
48,136.7776973
49,165.7076851
50,717.6998802
51,139.636892
52,1452.280161
53,76.65762556
54,632.1372259
55,240.7664603
56,949.8358013
57,1186.372535
58,307.9391085
59,526.8067767
60,1556.542862
61,73.46238342
62,1336.85769
63,998.4989469
64,310.2094743
65,731.1689535
66,231.5529744
67,260.8240496
68,342.7426544
69,857.0812171
70,233.9393446
71,319.0303236
72,232.5041098
73,122.6498086
74,189.740749
