Time,q_day
1,313
2,476
3,306
4,653
5,591
6,413
7,722
8,290
9,445
10,513
11,403
12,716
13,502
14,451
15,557
16,617
17,524
18,586
19,577
20,423
21,572
22,729
23,822
24,846
25,567
26,361
27,561
28,436
29,872
30,286
31,848
32,938
33,754
34,569
35,737
36,709
37,673
38,820
39,767
40,687
41,598
42,605
43,674
44,699
45,1070
46,518
47,565
48,1120
49,513
50,776
51,730
52,764
53,701
54,416
55,569
56,320
57,651
58,733
59,714
60,348
61,246
62,349
63,381
64,501
65,710
66,399
67,479
68,306
69,206
70,579
71,816
72,109
73,236
74,322
75,574
76,628
77,600
78,605
79,392
