Time,q_day
1,508.3458147
2,256.0718697
3,1204.035482
4,1023.775165
5,644.3716909
6,613.1893397
7,743.8458266
8,1121.243867
9,1440.987257
10,1264.333084
11,1093.515618
12,1120.07818
13,619.0079354
14,553.8272265
15,1014.637144
16,723.8109773
17,803.2036726
18,604.2124626
19,690.9151382
20,777.608726
21,834.0518778
22,596.6126305
23,404.6136502
24,1209.244304
25,526.3835947
26,414.3278183
27,882.9882134
28,1140.202544
29,745.7520816
30,1088.533215
31,1041.346057
32,501.7751016
33,539.7791176
34,740.9904353
35,1021.559124
36,963.7868094
37,354.8465297
38,434.5684668
39,523.0603553
40,993.3025299
41,930.7359547
42,590.8562882
43,337.4585547
44,248.755172
45,671.8097962
46,847.824745
47,925.3356051
48,1069.231689
49,1012.943888
50,489.6738642
51,373.5896648
52,97.79050791
53,507.2341695
54,389.8445679
55,562.8348497
56,667.8818026
57,723.3831507
58,1255.226261
59,776.2929485
60,726.7216448
61,768.4949996
62,300.3793195
63,291.355165
64,341.0332754
65,383.349157
66,785.5028072
67,328.3454012
68,755.7383873
69,891.6107867
70,720.4778619
