Time,q_day
1,38.70000076
2,4.480000019
3,1630.0
4,589.0
5,641.0
6,33.90000153
7,510.0
8,267.0
9,1650.0
10,2790.0
11,607.0
12,676.0
13,1030.0
14,1110.0
15,249.0
16,764.0
17,59.90000153
18,594.0
19,447.0
20,71.80000305
21,511.0
22,788.0
23,144.0
24,81.19999695
25,116.0
26,137.0
27,1280.0
28,857.0
29,285.0
30,213.0
31,164.0
32,1930.0
33,2090.0
34,1780.0
35,123.0
36,1210.0
37,107.0
38,1260.0
39,18.0
40,1390.0
41,1400.0
42,2370.0
43,742.0
44,643.0
45,418.0
46,144.0
47,50.40000153
48,579.0
49,1250.0
50,444.0
51,387.0
52,16.29999924
53,100.0
