Time,q_day
1,412.1470496
2,625.6796864
3,1280.618121
4,1259.062544
5,1287.814134
6,997.0856076
7,1014.470068
8,419.6377569
9,782.8927399
10,817.0332836
11,1516.596204
12,887.3731646
13,515.3461322
14,987.2548199
15,976.8535853
16,832.8773384
17,1053.431135
18,740.1680642
19,626.1314635
20,968.3845623
21,1334.558032
22,362.2292978
23,1182.035215
24,1029.15793
25,581.7335014
26,1172.006488
27,1551.183801
28,1134.412403
29,941.6451868
30,251.7555507
31,1352.113575
32,807.6397023
33,149.0524805
34,1078.625643
35,629.0529436
36,766.8503023
37,1413.986899
38,1350.543021
39,531.99853
40,213.3180294
41,460.3967163
42,131.4426327
43,164.5571331
44,659.2054239
45,365.519039
46,577.491487
47,544.317047
48,135.0642944
49,172.7912966
50,937.2260654
51,164.9842385
52,1447.314194
53,140.9663462
54,669.909902
55,273.6588574
56,887.1706794
57,1213.107094
58,429.6033624
59,678.2866231
60,1367.301554
61,118.9733754
62,1330.25059
63,1053.183797
64,403.3065341
65,752.8099261
66,292.2896858
67,391.9381169
68,374.7200236
69,1003.137384
70,238.7842639
71,397.4408602
72,271.4432039
73,120.3643058
74,261.384589
