Time,q_day
1,239.7567813
2,1308.901499
3,1343.282328
4,718.5228374
5,1010.178914
6,108.7331435
7,282.4149422
8,676.2095936
9,1197.020308
10,950.996295
11,427.938298
12,1130.927746
13,551.557494
14,947.4101313
15,880.6761442
16,1169.704929
17,390.3991431
18,685.8686702
19,750.356666
20,1147.251217
21,691.0249531
22,777.3224506
23,527.7353203
24,640.45
25,675.6827501
26,1015.490588
27,820.6046339
28,547.1682796
29,465.6474545
30,871.4173071
31,399.5553239
32,1118.246997
33,163.4415366
34,384.7082452
35,983.3979677
36,778.8831074
37,963.9625062
38,412.8706206
39,444.4565699
40,617.4649954
41,1136.95515
42,427.3408513
43,484.6840104
