Time,q_day
1,140.6684858
2,121.8190169
3,141.4587617
4,607.279304
5,170.1364491
6,281.0360433
7,481.098317
8,334.2229473
9,1309.667145
10,1134.720467
11,563.7918881
12,143.9198007
13,973.2258838
14,491.6126769
15,459.9976382
16,88.82527805
17,511.2040687
18,833.4309411
19,844.5878522
20,510.6254305
21,282.8544543
22,219.7941335
23,1199.450158
24,876.2059042
25,1022.197285
26,136.6569765
27,405.2167586
28,432.3178161
29,1306.164837
30,609.3159731
31,71.00102618
32,77.05102182
33,440.014153
34,1288.673746
35,490.0252716
36,295.4221133
37,203.9032742
38,308.6901582
39,198.5042065
40,514.9037054
41,1028.492704
42,136.0307687
43,143.1687862
44,108.3327656
45,208.9309615
46,70.00776052
