Time,q_day
1,532.6993667
2,161.7816674
3,1179.849442
4,1214.197108
5,853.8813792
6,675.5197085
7,426.2860156
8,892.7286582
9,1336.763908
10,1262.038424
11,1216.698137
12,1330.197472
13,757.321353
14,701.1421044
15,1113.047721
16,642.0236028
17,519.8211733
18,407.4154088
19,430.9517052
20,928.7551845
21,1231.495132
22,492.5625123
23,260.420923
24,1063.967379
25,378.3975141
26,244.623489
27,607.7983292
28,1116.452436
29,945.1955715
30,1435.070474
31,1272.410897
32,316.2361738
33,433.4009018
34,634.1708243
35,1188.206254
36,1323.343653
37,370.1889326
38,256.1289943
39,391.1222333
40,1114.374387
41,1078.962985
42,900.422363
43,325.1391843
44,163.1559455
45,495.46183
46,579.9033235
47,700.7112709
48,1125.328903
49,1334.345733
50,492.3339301
51,237.6881124
52,94.03008816
53,307.1298467
54,206.9240294
55,558.3244475
56,652.1435249
57,859.603721
58,1477.541594
59,1046.073266
60,1004.574698
61,1061.719336
62,350.4484885
63,270.5002629
64,297.9650273
65,222.0439526
66,505.7774218
67,205.2295066
68,560.3188007
69,948.3784863
70,957.1373253
