Time,q_day
1,1495.9470905348423
2,704.8388047891083
3,1014.0341303147908
4,157.6581965085234
5,334.0970885735206
6,570.4902864018804
7,1984.3855698919288
8,757.1910495659082
9,449.14779691639785
10,466.4208551403548
11,3118.9323242555474
12,3716.1729763225535
13,2862.6835779696567
14,133.27036155705295
15,345.7829727256564
16,3451.7502143560578
17,278.56355438934554
18,192.2930984663883
19,141.5746921392413
20,845.6791881149729
21,4487.229459750088
22,193.4110110315397
23,366.9631362856752
24,371.9221938553605
25,151.79233819451267
26,3889.355979085876
27,792.2418930874202
28,2174.9113233112885
29,523.813782355191
30,2262.014344578232
31,66.09427093033912
32,1354.0447981851007
33,875.842586483779
34,65.0716960399582
35,1086.3531829944584
36,238.6797372766146
37,297.80897483905994
38,203.37795771090103
39,3600.174588678092
40,168.82573562611114
41,516.6919228179173
42,84.50410836693234
43,1203.5500094260558
44,597.4257574936595
