Time,q_day
1,435
2,323
3,298
4,535
5,732
6,1380
7,1930
8,954
9,706
10,694
11,688
12,803
13,1490
14,1210
15,1110
16,942
17,723
18,576
19,624
20,551
21,1100
22,932
23,1110
24,781
25,907
26,844
27,848
28,650
29,953
30,962
31,809
32,583
33,778
34,793
35,741
36,556
37,929
38,1100
39,1420
40,1160
41,1290
42,985
43,588
44,506
45,402
46,906
47,1120
48,1150
49,810
50,698
51,535
52,642
53,632
54,886
55,872
56,953
57,739
58,812
59,678
60,626
61,329
62,726
63,866
64,932
65,632
66,754
67,290
68,354
69,336
70,311
71,277
72,862
73,743
74,853
75,627
76,606
