Time,q_day
1,1464.5198944268216
2,1589.8181271303413
3,1473.7270292857788
4,1535.7501789023024
5,746.516300407596
6,1325.469077959202
7,1462.6394134702168
8,1245.1663052481922
9,1417.1517526833927
10,1541.440104584034
11,1745.1834654921138
12,1363.7749248787454
13,1547.3748188725222
14,1485.2540441102472
15,516.2736354780592
16,766.8179996321007
17,634.0781686439071
18,1091.2256958634712
19,1297.303593528042
20,1094.1997689197717
21,1430.3615896812232
22,1418.421474854369
23,1184.691052036383
24,1123.4773703761016
25,491.8390360327457
26,314.97323321164686
27,1388.196015011738
28,983.1246666637932
29,765.8112184193801
30,1530.108691036631
31,782.2537245230509
32,735.5119650451719
33,1019.5947441500696
34,1318.411192026818
35,1675.405424077975
36,1012.108545024414
37,409.18648726101526
38,698.9612088143654
39,793.968351958434
40,1080.7503572278422
41,1058.087836072597
42,951.7633731535489
43,870.0035465188344
44,824.5484545351613
45,917.081111136133
46,935.6543367427624
47,304.9690934935944
48,605.3111617119199
49,338.5246199647274
50,403.2613018158923
51,1108.7169054869582
52,999.0958891181332
53,48.34337368773004
54,244.70119292592065
55,966.775211140168
56,995.730527237112
57,989.3576986529904
58,113.628119142822
59,498.43950537934205
60,319.98701897221787
61,311.22463376503873
62,1079.2252664378218
63,801.3014143918928
64,1031.8373094229817
65,685.3293529760516
66,460.47719489727984
67,266.0497794518667
68,866.0594707557999
