Time,q_day
1,2250.2655571283526
2,2485.6446857937854
3,657.7981926896457
4,836.3844477678998
5,4120.560285724335
6,1622.9729717144633
7,198.6029303448108
8,3791.518723601647
9,2071.141429066282
10,3618.284248406329
11,3445.6002128154605
12,3018.7039124631933
13,3241.5088428213508
14,424.9740946191357
15,224.8142182202224
16,397.7056401617622
17,2589.918358890627
18,3281.103598183051
19,4105.643864696495
20,3738.44295641445
21,960.0005976718792
22,202.61084519901803
23,51.78856657124192
24,3320.63529457654
25,108.00037750972156
26,717.4230578380754
27,254.4558445880636
28,2887.580443411297
29,670.6687327501842
30,2142.346660815321
31,2512.089108468401
32,1321.401647955064
