Time,q_day
1,487.0
2,141.0
3,372.0
4,170.0
5,919.0
6,149.0
7,136.0
8,355.0
9,371.0
10,1280.0
11,1920.0
12,2570.0
13,2160.0
14,1020.0
15,615.0
16,834.0
17,476.0
18,886.0
19,849.0
20,915.0
21,585.0
22,808.0
23,674.0
24,1280.0
25,1640.0
26,812.0
27,191.0
28,531.0
29,157.0
30,122.0
31,221.0
32,258.0
33,173.0
34,910.0
35,113.0
36,330.0
37,82.80000305
38,236.0
39,493.0
40,427.0
41,164.0
42,621.0
43,287.0
44,429.0
45,722.0
46,597.0
47,558.0
48,140.0
49,66.19999695
50,36.09999847
51,148.0
52,714.0
53,775.0
54,586.0
55,97.90000153
56,79.80000305
57,1020.0
58,734.0
59,920.0
60,693.0
61,189.0
62,92.5
63,91.5
64,184.0
65,1400.0
66,430.0
67,969.0
68,317.0
69,698.0
70,218.0
71,59.90000153
72,287.0
73,34.59999847
74,688.0
75,1070.0
76,205.0
77,321.0
78,114.0
79,37.70000076
80,119.0
81,39.29999924
82,121.0
83,200.0
84,462.0
85,1270.0
86,460.0
87,97.5
88,33.79999924
