Time,q_day
1,370.3211433570616
2,128.8761856077309
3,226.59991977628056
4,379.3117321919142
5,906.5847365809232
6,2575.6185075057847
7,2078.125904986776
8,2182.748871159306
9,906.675524327783
10,1383.6785221843782
11,1034.4895895952166
12,1303.5351132541864
13,2438.2111301020896
14,1832.2478787532737
15,659.72514619222
16,1182.7972497587932
17,796.6789185099441
18,657.6777791311707
19,553.4385760937348
20,211.6497097341789
21,889.962559021882
22,959.8813094347908
23,1258.9864315967186
24,1541.8566290547394
25,1767.1557536377848
26,1581.3661215830743
27,1371.8536847380806
28,256.2488698106619
29,1689.4727922464292
30,1557.2487867998752
31,1727.10002575234
32,872.4513818479293
33,1701.6060637799844
34,225.9481005374409
35,595.494563740642
36,389.3539742817375
37,1355.6806650436286
38,1798.3295369387272
39,2221.584644968589
40,2162.94759570332
41,2035.3463670947249
42,2130.995919775963
43,761.8246044939465
44,368.0442699955176
45,263.6580693376053
46,1933.9450546311648
47,1899.9526943442088
48,1772.4657160825964
49,2220.936631892809
50,876.3344559890517
51,538.1648434001465
52,799.6443559185102
53,1184.4220564619372
54,1314.1504671096586
55,1382.7593637700377
56,1856.7345742428736
57,1172.9628928062443
58,1018.3514507118416
59,634.575822631549
60,793.8301157672772
61,237.55674429214875
62,388.59288663853306
63,981.6405458596998
64,733.9216533474776
65,1072.23060795706
66,719.0064217534863
67,416.4600425203724
68,264.92790748552534
69,229.422163042856
70,154.6054611187419
71,339.5804369681408
72,634.6640643735741
73,978.9183467210707
74,1196.4922317215971
75,1078.4691084379945
76,192.49288212293368
