Time,q_day
1,334
2,437
3,528
4,720
5,608
6,455
7,472
8,403
9,317
10,419
11,723
12,479
13,440
14,538
15,630
16,698
17,756
18,646
19,526
20,614
21,626
22,544
23,796
24,641
25,714
26,754
27,964
28,784
29,644
30,501
31,769
32,665
33,365
34,846
35,624
36,469
37,490
38,697
39,483
40,401
41,625
42,554
43,647
44,684
45,667
46,591
47,550
48,423
49,518
50,941
51,516
52,888
53,962
54,639
55,446
56,745
57,861
58,563
59,736
60,926
61,190
62,724
63,775
64,595
65,704
66,321
67,340
68,448
69,921
70,265
71,483
72,437
73,428
74,494
