Time,q_day
1,514.0
2,376.0
3,131.0
4,401.0
5,135.0
6,207.0
7,222.0
8,943.0
9,859.0
10,142.0
11,148.0
12,175.0
13,336.0
14,1380.0
15,1510.0
16,2070.0
17,2740.0
18,2220.0
19,568.0
20,428.0
21,526.0
22,652.0
23,636.0
24,1030.0
25,1320.0
26,1620.0
27,202.0
28,469.0
29,146.0
30,123.0
31,219.0
32,247.0
33,139.0
34,123.0
35,554.0
36,135.0
37,581.0
38,223.0
39,442.0
40,252.0
41,104.0
42,315.0
43,82.59999847
44,181.0
45,627.0
46,270.0
47,115.0
48,109.0
49,1370.0
50,668.0
51,234.0
52,295.0
53,654.0
54,489.0
55,69.80000305
56,53.29999924
57,88.19999695
58,94.40000153
59,222.0
60,740.0
61,928.0
62,508.0
63,56.29999924
64,118.0
65,306.0
66,1080.0
67,1160.0
68,1030.0
69,509.0
70,191.0
71,158.0
72,274.0
73,1330.0
74,827.0
75,371.0
76,350.0
77,822.0
78,421.0
79,214.0
80,161.0
81,195.0
82,351.0
83,74.09999847
84,891.0
85,966.0
86,1160.0
87,188.0
88,303.0
89,105.0
90,25.89999962
91,99.59999847
92,27.89999962
93,21.20000076
94,98.30000305
95,632.0
96,1010.0
97,981.0
98,415.0
99,122.0
